SensorName,AQI,AQI_Range,time_stamp,year,date,time,id
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,136.5,Unhealthy for Sensitive Groups,2023-03-08T14:50:00Z,2023,2023-03-08,14:50:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,111.8,Unhealthy for Sensitive Groups,2023-03-08T17:20:00Z,2023,2023-03-08,17:20:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,101.7,Unhealthy for Sensitive Groups,2023-03-09T15:20:00Z,2023,2023-03-09,15:20:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,111.8,Unhealthy for Sensitive Groups,2023-03-09T15:50:00Z,2023,2023-03-09,15:50:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,146.3,Unhealthy for Sensitive Groups,2023-03-16T16:30:00Z,2023,2023-03-16,16:30:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,132.3,Unhealthy for Sensitive Groups,2023-03-16T19:00:00Z,2023,2023-03-16,19:00:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,152.1,Unhealthy,2023-03-16T19:10:00Z,2023,2023-03-16,19:10:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,155.4,Unhealthy,2023-03-16T19:20:00Z,2023,2023-03-16,19:20:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,119.0,Unhealthy for Sensitive Groups,2023-03-24T02:10:00Z,2023,2023-03-24,02:10:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,167.7,Unhealthy,2023-03-24T11:20:00Z,2023,2023-03-24,11:20:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,137.7,Unhealthy for Sensitive Groups,2023-03-24T11:30:00Z,2023,2023-03-24,11:30:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,164.4,Unhealthy,2023-03-24T23:20:00Z,2023,2023-03-24,23:20:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,183.6,Unhealthy,2023-03-24T23:30:00Z,2023,2023-03-24,23:30:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,152.9,Unhealthy,2023-03-24T23:40:00Z,2023,2023-03-24,23:40:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,159.1,Unhealthy,2023-03-26T11:40:00Z,2023,2023-03-26,11:40:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,160.8,Unhealthy,2023-03-26T23:40:00Z,2023,2023-03-26,23:40:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,155.9,Unhealthy,2023-03-26T23:50:00Z,2023,2023-03-26,23:50:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,157.1,Unhealthy,2023-03-27T00:00:00Z,2023,2023-03-27,00:00:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,151.7,Unhealthy,2023-03-27T00:10:00Z,2023,2023-03-27,00:10:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,152.1,Unhealthy,2023-03-27T00:50:00Z,2023,2023-03-27,00:50:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,112.6,Unhealthy for Sensitive Groups,2023-03-27T01:10:00Z,2023,2023-03-27,01:10:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,274.9,Very Unhealthy,2023-03-27T12:00:00Z,2023,2023-03-27,12:00:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,147.3,Unhealthy for Sensitive Groups,2023-03-27T18:30:00Z,2023,2023-03-27,18:30:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,116.0,Unhealthy for Sensitive Groups,2023-03-27T19:10:00Z,2023,2023-03-27,19:10:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,125.4,Unhealthy for Sensitive Groups,2023-03-27T19:20:00Z,2023,2023-03-27,19:20:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,107.2,Unhealthy for Sensitive Groups,2023-03-27T19:40:00Z,2023,2023-03-27,19:40:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,115.8,Unhealthy for Sensitive Groups,2023-03-27T22:00:00Z,2023,2023-03-27,22:00:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,115.0,Unhealthy for Sensitive Groups,2023-03-27T22:10:00Z,2023,2023-03-27,22:10:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,157.2,Unhealthy,2023-03-27T23:10:00Z,2023,2023-03-27,23:10:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,151.2,Unhealthy,2023-03-27T23:20:00Z,2023,2023-03-27,23:20:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,188.0,Unhealthy,2023-03-27T23:30:00Z,2023,2023-03-27,23:30:00,87173
/ Capital Region Air Justice Lab #1 (North Central Troy) Info at: www.mediasanctuary.org,155.8,Unhealthy,2023-03-27T23:40:00Z,2023,2023-03-27,23:40:00,87173
